,Time,Price
0,0,2397.1675675766896
1,1,2371.333300191334
2,2,2573.025408191334
3,3,2573.948942191334
4,4,2574.872476191334
5,5,2639.405053191334
6,6,2722.183183691334
7,7,2804.9613141913337
8,8,2786.6236821913344
9,9,2751.2150541913343
10,10,2637.9508988163348
11,11,2526.136540003834
12,12,2414.322181191334
13,13,2387.5486151913337
14,14,2406.910728191334
15,15,2426.2728411913336
16,16,2420.6873541913337
17,17,2415.101867191333
18,18,2409.5163801913336
19,19,2407.332473191334
20,20,2446.0299326913346
21,21,2484.727392191335
22,22,2533.831336191334
23,23,2572.642711191334
24,24,2559.491993691334
25,25,2546.3412761913337
26,26,2588.055713191335
27,27,2628.9801521913337
28,28,2618.9396941913337
29,29,2635.939831691334
30,30,2652.9399691913336
31,31,2629.971607191334
32,32,2521.442347191333
33,33,2435.504516691333
34,34,2360.862400941333
35,35,2292.1318980663336
36,36,2223.4013951913344
37,37,2199.1026686913337
38,38,2174.803942191334
39,39,2179.990193191334
40,40,2282.283339191334
41,41,2315.6272191913336
42,42,2329.260530191334
43,43,2261.320547191334
44,44,2273.3941141913338
45,45,2285.4676811913337
46,46,2290.7020466913336
47,47,2239.409892441334
48,48,2188.117738191333
49,49,2162.0744856913334
50,50,2136.0312331913337
51,51,2141.806802780133
52,52,2097.8038644857334
53,53,1977.8683583385327
54,54,1857.9328521913333
55,55,1852.6481131913336
56,56,1847.3633741913336
57,57,1860.1290931913336
58,58,1880.3317611913333
59,59,1900.5344291913336
60,60,1914.0217821913336
61,61,1927.5091351913336
62,62,1884.703680191334
63,63,1874.8995588580008
64,64,1865.095437524668
65,65,1855.2913161913343
66,66,1792.355148191334
67,67,1809.855701191334
68,68,1750.1271526913335
69,69,1690.3986041913336
70,70,1717.7524771913336
71,71,1666.6657891913342
72,72,1705.522254191334
73,73,1639.5869511913336
74,74,1642.5624431913343
75,75,1574.937146691334
76,76,1507.3118501913336
77,77,1484.681439191334
78,78,1462.0510281913346
79,79,1489.982128858001
80,80,1517.9132295246673
81,81,1545.8443301913337
82,82,1488.3533711913335
83,83,1430.862412191334
84,84,1373.3714531913342
85,85,1336.5464261913337
86,86,1356.4536551913338
87,87,1376.3608841913342
88,88,1280.844734691334
89,89,1268.458207941334
90,90,1256.0716811913342
91,91,1256.2555531913335
92,92,1140.8774301913338
93,93,1025.499307191334
94,94,1064.981558191334
95,95,1008.130916691334
96,96,932.600230191334
97,97,847.7295211913341
98,98,833.9956491913339
99,99,820.2617771913337
100,100,774.7783501913341
101,101,892.0977471913337
102,102,928.6980411913336
103,103,1016.4101151913336
104,104,970.7731546913336
105,105,925.1361941913336
106,106,959.7580711913338
107,107,949.622595191334
108,108,981.004477191334
109,109,1012.386359191334
110,110,1009.857436191334
111,111,1007.328513191334
112,112,1037.6625131913338
113,113,1009.0629251913338
114,114,986.6989761913336
115,115,931.2468819413336
116,116,875.7947876913338
117,117,820.3426934413337
118,118,764.8905991913339
119,119,725.6170311913338
120,120,686.3434631913337
121,121,678.9748211913337
122,122,577.7270870275435
123,123,562.6063251094387
